Date Time Temp DewP Hum Cloud Rain WindS WindDir WindDirDeg Sky Press Low Med High ChanceRain ChanceSnow ZeroLevel
2018-02-14 10 9 1 59 4 0.00 9 NW 305 Sunny 1013.69 0 9 0 13 0 1104
2018-02-14 11 9 1 58 10 0.00 6 WNW 284 Fair 1013.55 0 12 0 18 0 1112
2018-02-14 12 9 1 56 17 0.00 6 W 262 Fair 1013.41 0 15 0 22 0 1120
2018-02-14 13 9 1 55 23 0.00 3 WSW 241 Fair 1013.27 0 19 0 27 0 1128
2018-02-14 14 10 2 56 31 0.00 6 SSW 205 Fair 1012.87 0 21 10 32 0 1149
2018-02-14 15 10 2 58 39 0.00 9 SSE 169 Fair 1012.47 0 24 20 38 0 1171
2018-02-14 16 10 3 60 47 0.00 12 SE 132 Fair 1012.08 0 27 31 44 0 1193
2018-02-14 17 10 4 64 57 0.07 12 ESE 123 Fair 1011.77 5 39 42 49 0 1189
2018-02-14 18 10 4 69 68 0.07 17 ESE 114 Partly-Cloudy 1011.47 11 51 54 55 0 1186
2018-02-14 19 9 5 73 79 0.26 20 ESE 105 Showers 1011.17 17 63 66 61 0 1183
2018-02-14 20 9 5 75 84 0.79 20 E 99 Showers 1010.73 44 75 77 58 0 1186
2018-02-14 21 9 5 77 90 0.79 24 E 93 Showers 1010.28 72 87 88 55 0 1189
2018-02-14 22 9 6 80 96 1.33 24 E 87 Intermittent-Rain 1009.84 100 100 100 53 0 1192
2018-02-14 23 8 6 80 96 2.31 27 ENE 72 Intermittent-Rain 1009.65 100 100 100 50 0 1156
2018-02-15 00 8 5 81 96 2.31 27 ENE 57 Intermittent-Rain 1009.47 100 100 100 47 0 1120
2018-02-15 01 8 5 81 96 3.11 32 NE 41 Intermittent-Rain 1009.29 100 100 100 45 0 1084
2018-02-15 02 8 5 79 96 2.16 35 NNE 32 Intermittent-Rain 1009.12 100 100 100 39 0 1063
2018-02-15 03 8 4 77 96 2.16 38 NNE 22 Intermittent-Rain 1008.95 100 100 100 34 0 1041
2018-02-15 04 8 4 75 96 1.60 38 NNE 13 Intermittent-Rain 1008.78 100 100 100 29 0 1020
2018-02-15 05 8 4 74 96 1.22 41 ENE 69 Intermittent-Rain 1009.28 100 100 100 24 0 1011
2018-02-15 06 8 4 74 96 1.22 41 SE 126 Intermittent-Rain 1009.78 100 100 100 19 0 1002
2018-02-15 07 8 4 74 96 1.90 38 S 182 Intermittent-Rain 1010.29 100 100 100 14 0 993
2018-02-15 08 8 4 71 96 1.70 38 S 182 Intermittent-Rain 1010.93 83 99 90 11 0 1005
2018-02-15 09 9 4 68 96 1.70 38 S 182 Intermittent-Rain 1011.57 67 99 81 9 0 1017
2018-02-15 10 9 3 66 96 0.16 38 S 182 Intermittent-Rain 1012.21 51 99 72 7 0 1028
2018-02-15 11 9 3 64 90 0.12 38 WSW 241 Partly-Cloudy 1012.46 44 92 61 4 0 1027
2018-02-15 12 10 3 63 84 0.12 41 WNW 299 Cloudy 1012.7 37 85 50 2 0 1026
2018-02-15 13 10 3 61 79 0.12 41 N 357 Partly-Cloudy 1012.96 31 79 39 0 0 1025
2018-02-15 14 10 3 61 73 0.12 41 N 355 Partly-Cloudy 1013.39 32 53 26 0 0 1018
2018-02-15 15 9 2 61 67 0.12 41 N 354 Fair 1013.84 33 27 14 0 0 1010
2018-02-15 16 9 2 60 62 0.00 41 N 353 Fair 1014.28 35 1 2 0 0 1003
2018-02-15 17 9 2 61 46 0.00 41 N 351 Fair 1014.87 29 1 2 0 0 1031
2018-02-15 18 9 2 62 30 0.00 41 N 350 Fair 1015.46 23 1 2 0 0 1059
2018-02-15 19 8 2 63 15 0.00 41 N 349 Fair 1016.06 18 1 2 0 0 1088
2018-02-15 20 8 2 63 20 0.00 41 N 349 Fair 1016.65 31 0 1 0 0 1308
2018-02-15 21 9 2 64 24 0.00 41 N 349 Fair 1017.24 44 0 0 0 0 1527
2018-02-15 22 9 3 64 29 0.00 38 N 349 Fair 1017.83 58 0 0 0 0 1747
2018-02-15 23 9 3 64 24 0.00 38 NNW 348 Fair 1018.26 48 0 0 0 0 1797
2018-02-16 00 9 3 65 20 0.00 38 NNW 348 Fair 1018.69 39 0 0 0 0 1848
2018-02-16 01 9 3 66 17 0.00 35 NNW 347 Fair 1019.13 30 0 0 0 0 1898
2018-02-16 02 9 3 67 11 0.00 35 NNW 347 Fair 1019.48 20 0 0 0 0 1915
2018-02-16 03 9 3 68 5 0.00 35 NNW 346 Sunny 1019.83 10 0 0 0 0 1932
2018-02-16 04 9 4 69 0 0.00 35 NNW 346 Sunny 1020.18 0 0 0 0 0 1949
2018-02-16 05 9 4 70 0 0.00 32 NNW 346 Sunny 1020.69 0 0 0 0 0 1951
2018-02-16 06 8 4 70 0 0.00 32 NNW 347 Sunny 1021.22 0 0 0 0 0 1954
2018-02-16 07 8 4 71 0 0.00 27 NNW 347 Sunny 1021.74 0 0 0 0 0 1956
2018-02-16 08 9 4 69 0 0.00 27 NNW 346 Sunny 1022.16 0 0 0 0 0 1971
2018-02-16 09 10 4 68 0 0.00 27 NNW 345 Sunny 1022.58 0 0 0 0 0 1987
2018-02-16 10 10 4 66 0 0.00 27 NNW 345 Sunny 1023 0 0 0 0 0 2003
2018-02-16 11 10 4 65 0 0.00 27 NNW 347 Sunny 1022.99 0 0 0 0 0 2017
2018-02-16 12 11 5 63 0 0.00 27 N 350 Sunny 1022.98 0 0 0 0 0 2031
2018-02-16 13 11 5 62 0 0.00 27 N 352 Sunny 1022.97 0 0 0 0 0 2046
2018-02-16 14 11 5 62 0 0.00 24 WNW 295 Sunny 1022.97 0 0 0 0 0 2062
2018-02-16 15 11 4 63 0 0.00 24 WSW 237 Sunny 1022.98 0 0 0 0 0 2077
2018-02-16 16 11 4 63 0 0.00 24 S 179 Sunny 1022.98 0 0 0 0 0 2093
2018-02-16 17 10 4 64 0 0.00 20 WSW 238 Sunny 1023.34 0 0 0 0 0 2122
2018-02-16 18 10 4 66 0 0.00 20 WNW 297 Sunny 1023.7 0 0 0 0 0 2150
2018-02-16 19 9 4 67 0 0.00 20 N 356 Sunny 1024.07 0 0 0 0 0 2178
2018-02-16 20 9 4 67 0 0.00 17 N 354 Sunny 1024.35 0 0 0 0 0 2243
2018-02-16 21 9 4 67 0 0.00 17 N 351 Sunny 1024.64 0 0 0 0 0 2308
2018-02-16 22 9 3 67 0 0.00 17 N 349 Sunny 1024.92 0 0 0 0 0 2373
2018-02-16 23 9 3 67 0 0.00 17 N 350 Sunny 1024.86 0 0 0 0 0 2456
2018-02-17 00 9 3 67 0 0.00 12 N 350 Sunny 1024.81 0 0 0 0 0 2539
2018-02-17 01 8 3 67 0 0.00 12 N 350 Sunny 1024.76 0 0 0 0 0 2621
2018-02-17 02 8 3 67 0 0.00 12 N 349 Sunny 1024.67 0 0 0 0 0 2672
2018-02-17 03 8 3 67 0 0.00 12 N 349 Sunny 1024.58 0 0 0 0 0 2723
2018-02-17 04 8 3 67 0 0.00 12 N 349 Sunny 1024.5 0 0 0 0 0 2773
2018-02-17 05 8 3 68 0 0.00 12 NNW 348 Sunny 1024.61 0 0 0 0 0 2798
2018-02-17 06 8 4 69 0 0.00 12 NNW 347 Sunny 1024.73 0 0 0 0 0 2823
2018-02-17 07 8 4 69 0 0.00 12 NNW 346 Sunny 1024.85 0 0 0 0 0 2848
